           Crs_6_5_2  |    Crs_volume_6_5_2  |             PbWO4 crystal 652  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 6 ych manual 5 zch manual 2 
    Crs_volume_7_5_2  |         main_volume  |PbWO4 crystal mother volume 752  |                                  30*mm 0*mm 30*mm  |                      90*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                          10*mm 10*mm 100*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 6 ych manual 5 zch manual 2 
           Crs_7_5_2  |    Crs_volume_7_5_2  |             PbWO4 crystal 752  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 7 ych manual 5 zch manual 2 
    Crs_volume_8_5_2  |         main_volume  |PbWO4 crystal mother volume 852  |                                  50*mm 0*mm 30*mm  |                      90*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                          10*mm 10*mm 100*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 7 ych manual 5 zch manual 2 
           Crs_8_5_2  |    Crs_volume_8_5_2  |             PbWO4 crystal 852  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 8 ych manual 5 zch manual 2 
    Crs_volume_9_5_2  |         main_volume  |PbWO4 crystal mother volume 952  |                                  70*mm 0*mm 30*mm  |                      90*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                          10*mm 10*mm 100*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 8 ych manual 5 zch manual 2 
           Crs_9_5_2  |    Crs_volume_9_5_2  |             PbWO4 crystal 952  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 9 ych manual 5 zch manual 2 
   Crs_volume_10_5_2  |         main_volume  |PbWO4 crystal mother volume 1052  |                                  90*mm 0*mm 30*mm  |                      90*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                          10*mm 10*mm 100*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 9 ych manual 5 zch manual 2 
          Crs_10_5_2  |   Crs_volume_10_5_2  |            PbWO4 crystal 1052  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 10 ych manual 5 zch manual 2 
    Crs_volume_1_5_3  |         main_volume  |PbWO4 crystal mother volume 153  |                                 -90*mm 0*mm 50*mm  |                      90*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                          10*mm 10*mm 100*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 10 ych manual 5 zch manual 2 
